id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,packet span,84,63,9,34,376,ship,baseline,monotonic-signal
g002,retry pressure,108,75,9,79,517,ship,edge,drag-penalty
g003,route drift,35,14,11,36,125,watch,recovery,confidence-floor
g004,socket risk,90,56,13,46,376,ship,negative,lane-boundary
g005,packet span,77,9,16,55,240,ship,baseline,monotonic-signal
g006,retry pressure,74,58,40,64,242,ship,edge,drag-penalty
g007,route drift,76,15,32,73,203,ship,recovery,confidence-floor
g008,socket risk,37,31,9,82,219,ship,negative,lane-boundary
g009,packet span,109,77,20,48,449,ship,baseline,monotonic-signal
g010,retry pressure,60,67,27,79,285,ship,edge,drag-penalty
g011,route drift,39,30,32,99,148,watch,recovery,confidence-floor
g012,socket risk,32,14,36,70,50,hold,negative,lane-boundary
g013,packet span,76,8,38,103,195,watch,baseline,monotonic-signal
g014,retry pressure,58,43,42,38,130,watch,edge,drag-penalty
g015,route drift,52,28,45,96,128,watch,recovery,confidence-floor
g016,socket risk,97,23,6,44,357,ship,negative,lane-boundary
g017,packet span,79,58,9,22,339,ship,baseline,monotonic-signal
g018,retry pressure,117,8,12,59,378,ship,edge,drag-penalty
g019,route drift,52,20,36,39,91,hold,recovery,confidence-floor
g020,socket risk,67,29,29,33,176,watch,negative,lane-boundary
g021,packet span,78,71,27,78,346,ship,baseline,monotonic-signal
g022,retry pressure,43,59,6,35,258,ship,edge,drag-penalty
g023,route drift,73,56,39,45,220,ship,recovery,confidence-floor
g024,socket risk,91,22,36,54,227,ship,negative,lane-boundary
g025,packet span,104,28,36,63,287,ship,baseline,monotonic-signal
g026,retry pressure,70,48,38,72,226,ship,edge,drag-penalty
g027,route drift,56,25,40,81,139,watch,recovery,confidence-floor
g028,socket risk,97,16,43,47,198,watch,negative,lane-boundary
g029,packet span,33,49,25,78,175,watch,baseline,monotonic-signal
g030,retry pressure,92,68,17,98,442,ship,edge,drag-penalty
g031,route drift,37,10,36,69,56,hold,recovery,confidence-floor
g032,socket risk,37,19,5,102,231,ship,negative,lane-boundary
g033,packet span,61,61,12,37,294,ship,baseline,monotonic-signal
g034,retry pressure,76,14,17,95,283,ship,edge,drag-penalty
g035,route drift,43,63,21,43,214,ship,recovery,confidence-floor
g036,socket risk,30,20,23,21,59,hold,negative,lane-boundary
g037,packet span,115,36,27,58,367,ship,baseline,monotonic-signal
g038,retry pressure,117,12,30,38,293,ship,edge,drag-penalty
g039,route drift,78,72,33,32,278,ship,recovery,confidence-floor
g040,socket risk,62,35,36,77,189,watch,negative,lane-boundary
g041,packet span,101,19,39,34,219,ship,baseline,monotonic-signal
g042,retry pressure,80,13,21,44,226,ship,edge,drag-penalty
g043,route drift,73,48,14,53,312,ship,recovery,confidence-floor
g044,socket risk,117,33,12,62,431,ship,negative,lane-boundary
g045,packet span,99,28,33,71,292,ship,baseline,monotonic-signal
g046,retry pressure,93,63,24,80,389,ship,edge,drag-penalty
g047,route drift,50,13,21,46,138,watch,recovery,confidence-floor
g048,socket risk,32,25,21,77,139,watch,negative,lane-boundary
g049,packet span,70,34,23,97,283,ship,baseline,monotonic-signal
g050,retry pressure,93,76,25,68,399,ship,edge,drag-penalty
g051,route drift,108,64,28,101,441,ship,recovery,confidence-floor
g052,socket risk,31,61,10,36,211,ship,negative,lane-boundary
g053,packet span,84,27,44,94,224,ship,baseline,monotonic-signal
g054,retry pressure,114,33,21,42,366,ship,edge,drag-penalty
g055,route drift,44,53,32,20,130,watch,recovery,confidence-floor
g056,socket risk,57,30,39,57,132,watch,negative,lane-boundary
g057,packet span,111,21,44,37,236,ship,baseline,monotonic-signal
g058,retry pressure,97,54,6,31,406,ship,edge,drag-penalty
g059,route drift,50,73,8,76,340,ship,recovery,confidence-floor
g060,socket risk,74,15,12,33,237,ship,negative,lane-boundary
g061,packet span,45,24,15,43,166,watch,baseline,monotonic-signal
g062,retry pressure,78,66,18,52,346,ship,edge,drag-penalty
g063,route drift,78,19,21,61,249,ship,recovery,confidence-floor
g064,socket risk,102,68,24,70,416,ship,negative,lane-boundary
g065,packet span,117,25,6,79,456,ship,baseline,monotonic-signal
g066,retry pressure,84,41,41,45,215,ship,edge,drag-penalty
g067,route drift,71,17,39,76,167,watch,recovery,confidence-floor
g068,socket risk,68,77,18,96,382,ship,negative,lane-boundary
g069,packet span,70,40,9,67,321,ship,baseline,monotonic-signal
g070,retry pressure,31,24,6,100,217,ship,edge,drag-penalty
g071,route drift,103,18,6,35,356,ship,recovery,confidence-floor
g072,socket risk,54,53,8,93,329,ship,negative,lane-boundary
g073,packet span,33,38,10,41,176,watch,baseline,monotonic-signal
g074,retry pressure,114,33,13,105,461,ship,edge,drag-penalty
g075,route drift,70,68,37,56,254,ship,recovery,confidence-floor
g076,socket risk,52,18,29,36,112,watch,negative,lane-boundary
g077,packet span,46,30,6,30,204,ship,baseline,monotonic-signal
g078,retry pressure,91,39,17,75,358,ship,edge,drag-penalty
g079,route drift,73,11,24,32,177,watch,recovery,confidence-floor
g080,socket risk,111,69,29,42,397,ship,negative,lane-boundary
g081,packet span,46,66,33,51,189,watch,baseline,monotonic-signal
g082,retry pressure,61,32,35,60,167,watch,edge,drag-penalty
g083,route drift,72,38,39,69,205,ship,recovery,confidence-floor
g084,socket risk,37,58,42,78,137,watch,negative,lane-boundary
g085,packet span,67,35,45,44,135,watch,baseline,monotonic-signal
g086,retry pressure,85,26,6,75,358,ship,edge,drag-penalty
g087,route drift,98,59,9,95,471,ship,recovery,confidence-floor
g088,socket risk,64,8,33,66,142,watch,negative,lane-boundary
g089,packet span,50,20,26,99,185,watch,baseline,monotonic-signal
g090,retry pressure,91,29,24,34,269,ship,edge,drag-penalty
g091,route drift,115,71,45,92,399,ship,recovery,confidence-floor
g092,socket risk,86,24,36,40,202,ship,negative,lane-boundary
g093,packet span,31,73,33,104,211,ship,baseline,monotonic-signal
g094,retry pressure,31,30,33,55,76,hold,edge,drag-penalty
g095,route drift,55,46,35,35,152,watch,recovery,confidence-floor
g096,socket risk,70,22,37,29,135,watch,negative,lane-boundary
